Date/Time,InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,77023260.0,266404901.42434407 
 01/01  02:00:00,77023260.0,266394790.90112169 
 01/01  03:00:00,77023260.0,276930291.4786153 
 01/01  04:00:00,77023260.0,285712057.78491929 
 01/01  05:00:00,77023260.0,283782408.6408293 
 01/01  06:00:00,77023260.0,287946649.1863347 
 01/01  07:00:00,77023260.0,286422040.9125432 
 01/01  08:00:00,70618668.45658887,251620176.111552 
 01/01  09:00:00,51177181.28492577,213606759.6124427 
 01/01  10:00:00,47741684.09812558,199968189.89399994 
 01/01  11:00:00,46533845.74060476,198814720.37466315 
 01/01  12:00:00,46325277.76647395,201084314.08256487 
 01/01  13:00:00,46364583.24848232,198663503.98847459 
 01/01  14:00:00,46462903.55278692,198954927.56863175 
 01/01  15:00:00,47057790.57759772,209376510.81519593 
 01/01  16:00:00,48619032.98625851,212209354.42761658 
 01/01  17:00:00,71524185.10917332,230100108.91582565 
 01/01  18:00:00,77023260.0,267053406.51677913 
 01/01  19:00:00,77023260.0,266993143.66693784 
 01/01  20:00:00,77023260.0,267722024.05733163 
 01/01  21:00:00,77023260.0,267580810.16759987 
 01/01  22:00:00,77023260.0,267116376.97509203 
 01/01  23:00:00,77023260.0,266504131.4979878 
 01/01  24:00:00,77023260.0,268967418.1373858 
 01/02  01:00:00,77023260.0,266444242.21909047 
 01/02  02:00:00,77023260.0,266406214.85575045 
 01/02  03:00:00,77023260.0,284209500.2981057 
 01/02  04:00:00,77023260.0,282990186.478254 
 01/02  05:00:00,77023260.0,287991855.0456425 
 01/02  06:00:00,77023260.0,283801288.1944452 
 01/02  07:00:00,77023260.0,314453052.68957319 
 01/02  08:00:00,372358938.6442156,584733054.5972555 
 01/02  09:00:00,269356831.0767602,696238804.7071288 
 01/02  10:00:00,250621361.17013613,676841336.0100571 
 01/02  11:00:00,245871694.16348515,695126724.8700752 
 01/02  12:00:00,245605706.0490237,709892917.5226779 
 01/02  13:00:00,245847980.1963513,712291052.1049566 
 01/02  14:00:00,245272418.8150316,698156745.9523872 
 01/02  15:00:00,249021736.7824784,688538768.3675805 
 01/02  16:00:00,256388703.22721345,680126404.0659223 
 01/02  17:00:00,379879649.7960987,804995424.7815077 
 01/02  18:00:00,407770200.0,639870345.8810818 
 01/02  19:00:00,407770200.0,640076890.2372291 
 01/02  20:00:00,407770200.0,641008836.2624133 
 01/02  21:00:00,407770200.0,641025083.8979225 
 01/02  22:00:00,77023260.0,267017167.69996674 
 01/02  23:00:00,77023260.0,266561891.16003049 
 01/02  24:00:00,77023260.0,269183802.4160785 
 01/03  01:00:00,77023260.0,266580180.09645105 
 01/03  02:00:00,77023260.0,266590974.09602285 
 01/03  03:00:00,77023260.0,266655732.4117949 
 01/03  04:00:00,77023260.0,266748115.8286772 
 01/03  05:00:00,77023260.0,270846002.08710327 
 01/03  06:00:00,77023260.0,270088724.38031598 
 01/03  07:00:00,77023260.0,314989132.5619271 
 01/03  08:00:00,370744472.25870379,579612253.8648555 
 01/03  09:00:00,269556884.73469838,695793252.1084751 
 01/03  10:00:00,250114552.33512689,680849769.7697061 
 01/03  11:00:00,245722854.11816768,690449408.2568979 
 01/03  12:00:00,244862009.13405014,707441725.5127118 
 01/03  13:00:00,245443721.91380037,729276177.0151363 
 01/03  14:00:00,245744863.8430259,728037719.8063778 
 01/03  15:00:00,249407879.54152254,734059068.6168218 
 01/03  16:00:00,259041314.891623,712987511.7674506 
 01/03  17:00:00,382438579.09392127,827071833.0032089 
 01/03  18:00:00,407770200.0,651272098.5120537 
 01/03  19:00:00,407770200.0,641539665.1378294 
 01/03  20:00:00,407770200.0,640086796.1623973 
 01/03  21:00:00,407770200.0,640205313.7883034 
 01/03  22:00:00,77023260.0,266451226.2281077 
 01/03  23:00:00,77023260.0,266556443.94096706 
 01/03  24:00:00,77023260.0,269214510.97593358 
 01/04  01:00:00,77023260.0,266585634.62294347 
 01/04  02:00:00,77023260.0,266559297.49813263 
 01/04  03:00:00,77023260.0,266549104.32132534 
