Date/Time,InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,77023260.0,266434306.44354464 
 01/01  02:00:00,77023260.0,266427329.948921 
 01/01  03:00:00,77023260.0,266400791.38604862 
 01/01  04:00:00,77023260.0,266366465.8420928 
 01/01  05:00:00,77023260.0,267077973.22564534 
 01/01  06:00:00,77023260.0,281941703.6731205 
 01/01  07:00:00,77023260.0,282653097.60777369 
 01/01  08:00:00,70109744.45816306,237844904.54830713 
 01/01  09:00:00,50100724.95653845,202146828.0649038 
 01/01  10:00:00,46897941.40793674,199130844.8256325 
 01/01  11:00:00,46170517.50624554,198441898.32599733 
 01/01  12:00:00,45960850.07468771,200704602.40331526 
 01/01  13:00:00,46001351.1196334,198301808.37561036 
 01/01  14:00:00,46082421.75314947,198581661.4283925 
 01/01  15:00:00,46516795.44271891,204087855.0230567 
 01/01  16:00:00,48012189.469405818,205524849.6674006 
 01/01  17:00:00,71040942.23228742,229634868.75191964 
 01/01  18:00:00,77023260.0,267077088.41377516 
 01/01  19:00:00,77023260.0,267019182.52259318 
 01/01  20:00:00,77023260.0,267749705.38102696 
 01/01  21:00:00,77023260.0,267609874.41094847 
 01/01  22:00:00,77023260.0,267145148.0056976 
 01/01  23:00:00,77023260.0,266532119.80624474 
 01/01  24:00:00,77023260.0,268995890.1667428 
 01/02  01:00:00,77023260.0,266472995.1701767 
 01/02  02:00:00,77023260.0,266436172.8714704 
 01/02  03:00:00,77023260.0,266361557.56867779 
 01/02  04:00:00,77023260.0,266295588.0457098 
 01/02  05:00:00,77023260.0,279598452.28104558 
 01/02  06:00:00,77023260.0,278637106.0630479 
 01/02  07:00:00,77023260.0,312054420.02203437 
 01/02  08:00:00,368918064.8824486,578935771.9581821 
 01/02  09:00:00,263474606.41252155,688461550.7570582 
 01/02  10:00:00,246732848.0560638,671185631.2609733 
 01/02  11:00:00,244036492.28584696,690952334.6294928 
 01/02  12:00:00,243728661.86817736,705348820.6465826 
 01/02  13:00:00,243977448.6420959,707880739.7566788 
 01/02  14:00:00,241047778.4443406,691838908.9752493 
 01/02  15:00:00,245940701.01318253,684656267.494481 
 01/02  16:00:00,253338313.859487,676802453.7091388 
 01/02  17:00:00,377459263.41457918,800875858.418324 
 01/02  18:00:00,407770200.0,638058475.9888647 
 01/02  19:00:00,407770200.0,638220405.6386976 
 01/02  20:00:00,407770200.0,639131011.9382597 
 01/02  21:00:00,407770200.0,639156954.8503643 
 01/02  22:00:00,77023260.0,267033971.53047 
 01/02  23:00:00,77023260.0,266582842.18176223 
 01/02  24:00:00,77023260.0,269207145.5084396 
 01/03  01:00:00,77023260.0,266604343.28380145 
 01/03  02:00:00,77023260.0,266616383.50626493 
 01/03  03:00:00,77023260.0,266681725.601516 
 01/03  04:00:00,77023260.0,266773492.5655846 
 01/03  05:00:00,77023260.0,270870400.41299608 
 01/03  06:00:00,77023260.0,270115838.6956134 
 01/03  07:00:00,77023260.0,312505603.6499353 
 01/03  08:00:00,367908456.98651137,574640295.9129454 
 01/03  09:00:00,263987166.23257167,688407312.6374875 
 01/03  10:00:00,246321912.2833597,675011308.8829788 
 01/03  11:00:00,243863355.48255105,686603399.785687 
 01/03  12:00:00,240606108.70347188,700465358.1924486 
 01/03  13:00:00,243216091.68712364,723513521.0471456 
 01/03  14:00:00,243864152.2532068,722621406.7230758 
 01/03  15:00:00,246595209.05008749,729832423.2908269 
 01/03  16:00:00,255326404.597201,709114009.7612678 
 01/03  17:00:00,380587401.9073521,822146532.9236617 
