Date/Time,InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly)
 01/01  01:00:00,77023260,266404901.4
 01/01  02:00:00,77023260,266394790.9
 01/01  03:00:00,77023260,276930291.5
 01/01  04:00:00,77023260,285712057.8
 01/01  05:00:00,77023260,283782408.6
 01/01  06:00:00,77023260,287946649.2
 01/01  07:00:00,77023260,286422040.9
 01/01  08:00:00,70618668.46,251620176.1
 01/01  09:00:00,51177181.28,213606759.6
 01/01  10:00:00,47741684.1,199968189.9
 01/01  11:00:00,46533845.74,198814720.4
 01/01  12:00:00,46325277.77,201084314.1
 01/01  13:00:00,46364583.25,198663504
 01/01  14:00:00,46462903.55,198954927.6
 01/01  15:00:00,47057790.58,209376510.8
 01/01  16:00:00,48619032.99,212209354.4
 01/01  17:00:00,71524185.11,230100108.9
 01/01  18:00:00,77023260,267053406.5
 01/01  19:00:00,77023260,266993143.7
 01/01  20:00:00,77023260,267722024.1
 01/01  21:00:00,77023260,267580810.2
 01/01  22:00:00,77023260,267116377
 01/01  23:00:00,77023260,266504131.5
 01/01  24:00:00,77023260,268967418.1
 01/02  01:00:00,77023260,266444242.2
 01/02  02:00:00,77023260,266406214.9
 01/02  03:00:00,77023260,284209500.3
 01/02  04:00:00,77023260,282990186.5
 01/02  05:00:00,77023260,287991855
 01/02  06:00:00,77023260,283801288.2
 01/02  07:00:00,77023260,314453052.7
 01/02  08:00:00,372358938.6,584733054.6
 01/02  09:00:00,269356831.1,696238804.7
 01/02  10:00:00,250621361.2,676841336
 01/02  11:00:00,245871694.2,695126724.9
 01/02  12:00:00,245605706,709892917.5
 01/02  13:00:00,245847980.2,712291052.1
 01/02  14:00:00,245272418.8,698156746
 01/02  15:00:00,249021736.8,688538768.4
 01/02  16:00:00,256388703.2,680126404.1
 01/02  17:00:00,379879649.8,804995424.8
 01/02  18:00:00,407770200,639870345.9
 01/02  19:00:00,407770200,640076890.2
 01/02  20:00:00,407770200,641008836.3
 01/02  21:00:00,407770200,641025083.9
 01/02  22:00:00,77023260,267017167.7
 01/02  23:00:00,77023260,266561891.2
 01/02  24:00:00,77023260,269183802.4
 01/03  01:00:00,77023260,266580180.1
 01/03  02:00:00,77023260,266590974.1
 01/03  03:00:00,77023260,266655732.4
 01/03  04:00:00,77023260,266748115.8
 01/03  05:00:00,77023260,270846002.1
 01/03  06:00:00,77023260,270088724.4
 01/03  07:00:00,77023260,314989132.6
