Date/Time,InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly)
 01/01  01:00:00,58593492,248039581.2
 01/01  02:00:00,58593492,248036193
 01/01  03:00:00,58593492,248014579.7
 01/01  04:00:00,58593492,249772538.1
 01/01  05:00:00,58593492,260545116.4
 01/01  06:00:00,58593492,262067508.9
 01/01  07:00:00,58593492,265018703.1
 01/01  08:00:00,53619280.57,219008742.5
 01/01  09:00:00,38823856.09,192466869
 01/01  10:00:00,36294271.55,188612674
 01/01  11:00:00,35444249.52,187802153
 01/01  12:00:00,35323531.4,190132354.9
 01/01  13:00:00,35366208.9,187690011.4
 01/01  14:00:00,35450310.08,187950542.1
 01/01  15:00:00,35966559.08,198003351.3
 01/01  16:00:00,37238930.79,198147368.3
 01/01  17:00:00,54514498.11,213085774.6
 01/01  18:00:00,58593492,248636481.8
 01/01  19:00:00,58593492,248596874.4
 01/01  20:00:00,58593492,249340060.8
 01/01  21:00:00,58593492,249209848.2
 01/01  22:00:00,58593492,248747036
 01/01  23:00:00,58593492,248134970.6
 01/01  24:00:00,58593492,250599756.3
 01/02  01:00:00,58593492,248078623.4
 01/02  02:00:00,58593492,248044778
 01/02  03:00:00,58593492,247970915.3
 01/02  04:00:00,58593492,258377605.5
 01/02  05:00:00,58593492,258863227.6
 01/02  06:00:00,58593492,259830782.6
 01/02  07:00:00,58593492,291787868.9
 01/02  08:00:00,282735689.6,491022040.1
 01/02  09:00:00,204402212.2,627505652.1
 01/02  10:00:00,190605594,613097362.9
 01/02  11:00:00,187330556.7,631765665.1
 01/02  12:00:00,187255477.6,646102732.7
 01/02  13:00:00,187511939.5,648501797.5
 01/02  14:00:00,187129430,633941571.8
 01/02  15:00:00,190358034.3,625380222.4
 01/02  16:00:00,196316636.9,616301046.7
 01/02  17:00:00,289497770.5,710926879.9
 01/02  18:00:00,310200840,538708752.4
 01/02  19:00:00,310200840,538857930.7
 01/02  20:00:00,310200840,539727988
 01/02  21:00:00,310200840,539788200.3
 01/02  22:00:00,58593492,248632278.4
 01/02  23:00:00,58593492,248186335.4
 01/02  24:00:00,58593492,250815347.1
 01/03  01:00:00,58593492,248215482.6
 01/03  02:00:00,58593492,248230073.6
 01/03  03:00:00,58593492,248295873.8
 01/03  04:00:00,58593492,248387462.7
 01/03  05:00:00,58593492,252480740.4
 01/03  06:00:00,58593492,251723306.9
 01/03  07:00:00,58593492,292290178.1
 01/03  08:00:00,281536174.6,486667735.7
 01/03  09:00:00,204629959.4,627121957.9
