Date/Time,InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly)
 01/01  01:00:00,58593492,248073733.8
 01/01  02:00:00,58593492,248070112.7
 01/01  03:00:00,58593492,248048997.3
 01/01  04:00:00,58593492,248016379
 01/01  05:00:00,58593492,248729255.1
 01/01  06:00:00,58593492,248637863.9
 01/01  07:00:00,58593492,248715011.1
 01/01  08:00:00,53231641.29,217896739.7
 01/01  09:00:00,38016082.33,190164281.9
 01/01  10:00:00,35668672.55,188001298.5
 01/01  11:00:00,35173013.5,187527833.7
 01/01  12:00:00,35055175.31,189856130
 01/01  13:00:00,35099497.16,187431038.9
 01/01  14:00:00,35164052.75,187677231.1
 01/01  15:00:00,35508071.15,192783403.6
 01/01  16:00:00,36743072.48,194428401
 01/01  17:00:00,54156798.28,212750604.4
 01/01  18:00:00,58593492,248664672.9
 01/01  19:00:00,58593492,248627525.2
 01/01  20:00:00,58593492,249372706.7
 01/01  21:00:00,58593492,249244427.1
 01/01  22:00:00,58593492,248781179
 01/01  23:00:00,58593492,248168204.9
 01/01  24:00:00,58593492,250633489.1
 01/02  01:00:00,58593492,248112670.4
 01/02  02:00:00,58593492,248078544
 01/02  03:00:00,58593492,248005814.5
 01/02  04:00:00,58593492,247943363.2
 01/02  05:00:00,58593492,248705712
 01/02  06:00:00,58593492,248706356.8
 01/02  07:00:00,58593492,289423701.1
 01/02  08:00:00,280142365.5,485842303.1
 01/02  09:00:00,200006779.3,621246535.3
 01/02  10:00:00,187738058.4,608586511.1
 01/02  11:00:00,185960338,628168133.9
 01/02  12:00:00,185872843.1,642716137.1
 01/02  13:00:00,186137852.2,645284952.6
 01/02  14:00:00,184076469,629447757.1
 01/02  15:00:00,187721317,622405882.1
 01/02  16:00:00,193859910.5,614175281.5
 01/02  17:00:00,287680007.1,707514537.6
 01/02  18:00:00,310200840,537001373.5
 01/02  19:00:00,310200840,537103034.4
 01/02  20:00:00,310200840,537955245.9
 01/02  21:00:00,310200840,538013992.8
 01/02  22:00:00,58593492,248652481.9
 01/02  23:00:00,58593492,248211008.7
 01/02  24:00:00,58593492,250842738.6
 01/03  01:00:00,58593492,248243803.1
 01/03  02:00:00,58593492,248259766.3
 01/03  03:00:00,58593492,248326220.1
 01/03  04:00:00,58593492,248417160.6
 01/03  05:00:00,58593492,252509452
 01/03  06:00:00,58593492,251755216.3
 01/03  07:00:00,58593492,289854289.3
 01/03  08:00:00,279303258.9,482362944.5
 01/03  09:00:00,200467825.8,621278598.2
 01/03  10:00:00,187521172.9,612031121.9
 01/03  11:00:00,185847320.4,624468275.2
 01/03  12:00:00,183655367.7,638359195.7
 01/03  13:00:00,185591957.3,659170618.2
 01/03  14:00:00,186093560.2,657781037
 01/03  15:00:00,188322002,663527094.1
 01/03  16:00:00,195413803,642702341.4
 01/03  17:00:00,290008665.2,725463462.7
 01/03  18:00:00,310200840,546051131.4
 01/03  19:00:00,310200840,538209087.6
 01/03  20:00:00,310200840,537112797.3
 01/03  21:00:00,310200840,537274362.1
 01/03  22:00:00,58593492,248087165.2
 01/03  23:00:00,58593492,248204722.4
 01/03  24:00:00,58593492,250870842.8
 01/04  01:00:00,58593492,248244204.5
 01/04  02:00:00,58593492,248219924.8
 01/04  03:00:00,58593492,248213781.4
 01/04  04:00:00,58593492,248161975
 01/04  05:00:00,58593492,248840783.3
 01/04  06:00:00,58593492,248777071.9
 01/04  07:00:00,58593492,289949011.5
 01/04  08:00:00,280929783.3,492598944.3
 01/04  09:00:00,202797345.6,624285475
 01/04  10:00:00,190621467.2,611854066.9
 01/04  11:00:00,186280834.2,621768082.7
 01/04  12:00:00,182744602.4,620631053.4
 01/04  13:00:00,182971931.2,618223844.3
 01/04  14:00:00,184020465,605836809.3
 01/04  15:00:00,187543851.2,608727658.6
 01/04  16:00:00,196009148.5,609690774.1
 01/04  17:00:00,291736468,711362346.4
 01/04  18:00:00,310200840,537200449
 01/04  19:00:00,310200840,537372495.2
 01/04  20:00:00,310200840,538268559.2
 01/04  21:00:00,310200840,538336692.6
 01/04  22:00:00,58593492,248655301.5
 01/04  23:00:00,58593492,248168418.2
 01/04  24:00:00,58593492,250814559
 01/05  01:00:00,58593492,248198680.6
 01/05  02:00:00,58593492,248185416.5
 01/05  03:00:00,58593492,248114337.8
 01/05  04:00:00,58593492,248025133
 01/05  05:00:00,58593492,248767217.6
 01/05  06:00:00,58593492,248695580.5
 01/05  07:00:00,58593492,290011805.5
 01/05  08:00:00,281131245.2,493277988.4
 01/05  09:00:00,200222656.2,621916531.8
 01/05  10:00:00,187655725.7,609100523.6
 01/05  11:00:00,185281074.7,620860082.1
 01/05  12:00:00,185869830.7,624171659.7
 01/05  13:00:00,186736629.3,624983982.7
 01/05  14:00:00,186848543.3,613385894.6
 01/05  15:00:00,187943092.7,615277698.5
 01/05  16:00:00,194028364.2,611600555.8
 01/05  17:00:00,285615902.6,705190822.9
 01/05  18:00:00,310200840,537087331.4
 01/05  19:00:00,310200840,537331052.9
 01/05  20:00:00,310200840,538238059
 01/05  21:00:00,310200840,538359394.3
 01/05  22:00:00,58593492,248589196.5
 01/05  23:00:00,58593492,248149402.4
 01/05  24:00:00,58593492,250788591.5
 01/06  01:00:00,58593492,248156096.8
 01/06  02:00:00,58593492,248139812.4
 01/06  03:00:00,58593492,248122404.7
 01/06  04:00:00,58593492,248110759.3
 01/06  05:00:00,58593492,251915307.1
